Country/Region,Deaths
Afghanistan,120
Albania,31
Algeria,502
Andorra,48
Angola,2
Antigua and Barbuda,3
Argentina,305
Armenia,45
Australia,97
Austria,618
Azerbaijan,32
Bahamas,11
Bahrain,8
Bangladesh,228
Barbados,7
Belarus,131
Belgium,8656
Belize,2
Benin,2
Bhutan,0
Bolivia,118
Bosnia and Herzegovina,107
Botswana,1
Brazil,11123
Brunei,1
Bulgaria,91
Burkina Faso,49
Burma,6
Burundi,1
Cabo Verde,2
Cambodia,0
Cameroon,114
Canada,4991
Central African Republic,0
Chad,31
Chile,312
China,4637
Colombia,463
Comoros,1
Congo (Brazzaville),10
Congo (Kinshasa),41
Costa Rica,7
Cote d'Ivoire,21
Croatia,90
Cuba,77
Cyprus,16
Czechia,280
Denmark,529
Diamond Princess,13
Djibouti,3
Dominica,0
Dominican Republic,388
Ecuador,2127
Egypt,525
El Salvador,17
Equatorial Guinea,4
Eritrea,0
Estonia,60
Eswatini,2
Ethiopia,5
Fiji,0
Finland,267
France,26383
Gabon,8
Gambia,1
Georgia,10
Germany,7569
Ghana,22
Greece,151
Grenada,0
Guatemala,26
Guinea,11
Guinea-Bissau,3
Guyana,10
Haiti,15
Holy See,0
Honduras,108
Hungary,413
Iceland,10
India,2212
Indonesia,973
Iran,6640
Iraq,109
Ireland,1458
Israel,252
Italy,30560
Jamaica,9
Japan,624
Jordan,9
Kazakhstan,31
Kenya,32
Kosovo,28
Kuwait,58
Kyrgyzstan,12
Laos,0
Latvia,18
Lebanon,26
Liberia,20
Libya,3
Liechtenstein,1
Lithuania,50
Luxembourg,101
MS Zaandam,2
Madagascar,0
Malawi,3
Malaysia,108
Maldives,3
Mali,38
Malta,5
Mauritania,1
Mauritius,10
Mexico,3465
Moldova,169
Monaco,4
Mongolia,0
Montenegro,9
Morocco,188
Mozambique,0
Namibia,0
Nepal,0
Netherlands,5459
New Zealand,21
Nicaragua,5
Niger,46
Nigeria,143
North Macedonia,91
Norway,219
Oman,17
Pakistan,659
Panama,244
Papua New Guinea,0
Paraguay,10
Peru,1889
Philippines,719
Poland,800
Portugal,1135
Qatar,14
Romania,961
Russia,1915
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,41
Sao Tome and Principe,5
Saudi Arabia,246
Senegal,19
Serbia,215
Seychelles,0
Sierra Leone,18
Singapore,20
Slovakia,26
Slovenia,102
Somalia,51
South Africa,194
South Korea,256
South Sudan,0
Spain,26621
Sri Lanka,9
Sudan,70
Suriname,1
Sweden,3225
Switzerland,1833
Syria,3
Taiwan*,6
Tajikistan,20
Tanzania,21
Thailand,56
Timor-Leste,0
Togo,11
Trinidad and Tobago,8
Tunisia,45
Turkey,3786
US,79526
Uganda,0
Ukraine,391
United Arab Emirates,198
United Kingdom,31930
Uruguay,19
Uzbekistan,10
Venezuela,10
Vietnam,0
West Bank and Gaza,2
Western Sahara,0
Yemen,8
Zambia,7
Zimbabwe,4
